file,title,date,author,type,account,url,digest,char_count,paragraph_count,image_count,has_table,has_media,hot_status,secondary_tags,进入训练集,进入holdout验证集,split
20230420_最最珍贵的“山庄头魁酒”，今年又敬给了谁_.md,最最珍贵的“山庄头魁酒”，今年又敬给了谁?,2023-04-20,事儿哥,文旅稿,承德新鲜工作室,https://mp.weixin.qq.com/s/t_Kdw5KsFd_xLSnXczqZHg,敬传承、匠心和未来！,2779,57,33,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,否,是,holdout
20230422_“我想去承德定居，帮我参谋一下呗？”.md,“我想去承德定居，帮我参谋一下呗？”,2023-04-22,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/z3DKaaIfdD2hDCejnO22zA,2023年了，不考虑感性原因，来承德安家是个理性决定吗？,3599,63,17,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20230905_2023年，承德究竟是「几线城市」？.md,2023年，承德究竟是「几线城市」？,2023-09-05,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/cjyDggVlhKXZ5T-ylrZabQ,如果把中国所有337个地级及以上城市排名，承德能排多少？,2493,45,23,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231007_想拿“人才落户承德安家费”，需要啥门槛？.md,想拿“人才落户承德安家费”，需要啥门槛？,2023-10-07,承德事儿哥,服务提醒,承德新鲜工作室,https://mp.weixin.qq.com/s/UxcXGXEwNwZmRaebxoswCQ,在昨天的文章《河北日报》：承德市用真金白银激励人才创新创业发布后，有一位网友在后台留言：她指的“购房补贴政策,2661,53,20,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231009_承德南站，这次终于行了！.md,承德南站，这次终于行了！,2023-10-09,承德事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/v9pyCTTpbGcwH6_C0uxCeQ,承德南站地下停车场，几乎完成！,1858,31,20,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20231010_石洞子沟那栋“著名老楼”，去哪了？.md,石洞子沟那栋“著名老楼”，去哪了？,2023-10-10,承德事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/kSt7gPJpWSAdaBcXOM8Lnw,拆了，通了！,1720,30,21,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231025_行了别吵了！承德修得起轻轨！.md,行了别吵了！承德修得起轻轨！,2023-10-25,承德事儿哥,政务稿,承德新鲜工作室,https://mp.weixin.qq.com/s/P0RPxKuSDFK0D7lCLsZKbw,然而养不起！,3214,52,25,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20231027_承德直通天津的高铁，还得十年？.md,承德直通天津的高铁，还得十年？,2023-10-27,依然承德新鲜事儿,政务稿,承德新鲜工作室,https://mp.weixin.qq.com/s/u_NOgM9bEIuZiyWFb6JZ1Q,在前几天探讨承德市内轨道交通的文章里，很多网友把视线放在了承德到天津的高铁上。我的一位朋友看到了这些评论，问,4159,76,24,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231207_“承德落榜”，紧接着就是回不去的家乡！.md,“承德落榜”，紧接着就是回不去的家乡！,2023-12-07,事儿哥,教育稿,承德新鲜工作室,https://mp.weixin.qq.com/s/zkyQJ7F4FLbSSj3xSdRrlA,承德，有时候很大，有时候很小。,2567,46,26,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20231218_山姆会员店，承德“配得上”吗？.md,山姆会员店，承德“配得上”吗？,2023-12-18,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/uVoMveXL4ZfiNUVYsJvNEA,相比规模，一家真正受人民爱戴的零售企业，才是真正被需要的。,2845,67,26,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20231220_承德互联网，未来何处去？.md,承德互联网，未来何处去？,2023-12-20,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/0RqlTtRYpZtuzzaY1Maqtw,我们，周五见！,4042,66,36,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240103_删帖重发：关于“燃油费入表”.md,删帖重发：关于“燃油费入表”,2024-01-03,事儿哥,政务稿,承德新鲜工作室,https://mp.weixin.qq.com/s/eaiRM-DA2mji4oAsuXcBHg,再聊燃油附加费！,2536,46,18,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20240312_承德老板说：「我招不来人」！求职者说：「我也找不到工作」！.md,承德老板说：「我招不来人」！求职者说：「我也找不到工作」！,2024-03-12,事儿哥,招聘稿,承德新鲜工作室,https://mp.weixin.qq.com/s/nuhYLktabsQA8rLRyoOEbA,几乎同时收两封求助信，给我干懵了……,3288,45,18,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20240318_为啥不愿给狗“上户口”？一位承德人说了大实话！.md,为啥不愿给狗“上户口”？一位承德人说了大实话！,2024-03-18,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/j7mEhSs1pKFAmK25RTDbKQ,这位叫“欠儿登”的网友，真是人如其名啊……,1975,29,12,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240320_【重磅】围场、丰宁通高铁？.md,【重磅】围场、丰宁通高铁？,2024-03-20,事儿哥,政务稿,承德新鲜工作室,https://mp.weixin.qq.com/s/mbhjdNGK3sTF7tYMEMLctQ,吉林省提出，真“有谱”！,2780,54,19,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240325_承德比亚迪工厂，后来怎样了？.md,承德比亚迪工厂，后来怎样了？,2024-03-25,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/66SugSoKwkVNuFMRYO_31g,世界新能源汽车看中国，中国新能源汽车看比亚迪……2024年的比亚迪，已经十分的强大了。,3902,56,20,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240326_“厦门和承德，咋这么像？”.md,“厦门和承德，咋这么像？”,2024-03-26,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/xLzMVlblvDuO_wQrcYAuUw,我的厦门见闻（一）,3947,80,33,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,否,是,holdout
20240430_在承德的正定学生喊话：大学城夜市，麻烦恢复一下！.md,在承德的正定学生喊话：大学城夜市，麻烦恢复一下！,2024-04-30,事儿哥,教育稿,承德新鲜工作室,https://mp.weixin.qq.com/s/eLrFYsT53N7szRR4zP6s1A,当年真火过，大家还挺怀念的！,2309,49,16,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20240506_你敢信啊？因为停车，承德被大量表扬！.md,你敢信啊？因为停车，承德被大量表扬！,2024-05-06,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/UiE1yc5YWlC3OM8VJWJMTg,千真万确……！,2067,40,25,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240514_19个国家外交官去滦平、《人民日报》整版报道金山岭……发生啥大事儿了？.md,19个国家外交官去滦平、《人民日报》整版报道金山岭……发生啥大事儿了？,2024-05-14,事儿哥,政务稿,承德新鲜工作室,https://mp.weixin.qq.com/s/f8cDr1tQ423FZRTWsts7Sw,滦平， 要火！,2532,47,27,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240516_太魔幻！老外慌了！美国“爱国者导弹”惊现隆化蓝旗营？.md,太魔幻！老外慌了！美国“爱国者导弹”惊现隆化蓝旗营？,2024-05-16,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/kaj3GvFqFa1mpcMw9QOBRw,隆化街头有一车，疑是美军爱国者。网友纷纷热议起，细心之人察其讹……,2251,48,22,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240520_承德高端饭店纷纷开团购，究竟发生什么了？.md,承德高端饭店纷纷开团购，究竟发生什么了？,2024-05-20,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/1yRSUCCSZfvO0l-vOrAX3g,曾经高高在上的大福的，我们现在也可以吃得起了。,2210,32,11,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240530_「习惯性被盗图」的兴隆红河漂流，马上开业了！.md,「习惯性被盗图」的兴隆红河漂流，马上开业了！,2024-05-30,事儿哥,文旅稿,承德新鲜工作室,https://mp.weixin.qq.com/s/ZI_yhWvC8SO4kz3XNVvatA,6月2号正式开漂！,1847,27,19,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20240603_又一家五钻酒家入局厮杀！承德餐饮价格会被打下来了吗？.md,又一家五钻酒家入局厮杀！承德餐饮价格会被打下来了吗？,2024-06-03,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/DIV-JaQTUZWqXqAh6VoV8Q,人均14块5，去嘉和吃一顿？,2277,34,18,是,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240612_相比高温，这件事更让承德人心烦！.md,相比高温，这件事更让承德人心烦！,2024-06-12,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/Q0-ZEyHIKERtpSFuRG9ebQ,承德，没必要再证明自己是物理上的“避暑城市”了。,2483,46,27,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20240701_最近我有一点负能量.md,最近我有一点负能量,2024-07-01,事儿哥,情感稿,承德新鲜工作室,https://mp.weixin.qq.com/s/h22uqO16avagTdaU4RhK1w,有时候恨不得扇自己一巴掌。,2279,39,7,否,是,未知（语料无阅读/点赞/在看数据）,,是,否,train
20240713_“房叔”的自白：我为什么劝你在承德尽快买新房！.md,“房叔”的自白：我为什么劝你在承德尽快买新房！,2024-07-13,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/M6STXyD069JJl3P8SUItpg,一位承德房产投资狂热爱好者的自白！,693,14,3,否,是,未知（语料无阅读/点赞/在看数据）,问题标题,是,否,train
20240715_写完这一篇「店铺转让」，我含着泪…….md,写完这一篇「店铺转让」，我含着泪……,2024-07-15,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/I5oIw9_qxHNfRdhm_GeuEg,今天，我破例转发一条「转让信息」,2057,50,24,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20240718_老罗，也去滦平了！.md,老罗，也去滦平了！,2024-07-18,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/198ja7fUPtqxjf1jUc9dtA,“哪个老罗？”,1769,47,29,是,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20240814_“小黄鸭”们，还会再来承德吗？.md,“小黄鸭”们，还会再来承德吗？,2024-08-14,承德事儿哥,文旅稿,承德新鲜工作室,https://mp.weixin.qq.com/s/IWXEg_G4Lpa7bTcTYkh_Mw,上个周末，你的朋友圈、抖音、小红书上，是否被“一片黄”刷屏了？,1554,37,28,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,否,是,holdout
20240820_我在承德月薪5千，为啥快吃不起20块钱一份的外卖了？.md,我在承德月薪5千，为啥快吃不起20块钱一份的外卖了？,2024-08-20,事儿哥,招聘稿,承德新鲜工作室,https://mp.weixin.qq.com/s/lfb_9GX4CZVye4h1vDePMA,在承德，一碗非常寻常的板面价格是多少钱？在一些外卖平台，一碗板面的价格将近十五块钱；随便加个蛋，就很容易奔着二十去了。,1725,39,28,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,否,是,holdout
20240905_「塞罕坝精神」，如何在一所承德高中“花开绽放”？.md,「塞罕坝精神」，如何在一所承德高中“花开绽放”？,2024-09-05,事儿哥,文旅稿,承德新鲜工作室,https://mp.weixin.qq.com/s/Lrs_vYaXbsRdJxwwmOHPKA,塞罕坝精神，你一定不陌生。此刻，这位正在给滦平文茂中学高一新生讲课的老师， 是承德市林业和草原局一级调研员封捷然。,2478,43,40,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240914_董宇辉来承德，他们仨“赢麻了”！.md,董宇辉来承德，他们仨“赢麻了”！,2024-09-14,承德事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/LONOugG5FXHB4jJu9lYImg,董宇辉来承德，伟大的“双向奔赴”！,2900,67,40,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20240915_你心中，是不是也有一首《桃李街》？.md,你心中，是不是也有一首《桃李街》？,2024-09-15,康小桥,文旅稿,承德新鲜工作室,https://mp.weixin.qq.com/s/YJdQIMaV6jLSPXNuM-e85A,桃李街的风，轻轻拂过耳畔 从幼儿园到高中，一直坐你左边,475,40,3,否,是,未知（语料无阅读/点赞/在看数据）,问题标题,否,是,holdout
20240917_你有没有发现，承德今年有点“反常”？.md,你有没有发现，承德今年有点“反常”？,2024-09-17,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/ER18RczugZmbzEUPm7Zo8A,这一年，承德背后不仅有“高人”谋划，不仅有“能人”执行，还有“贵人”帮忙。,1797,33,25,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20240927_承德人国庆去哪遛娃？推荐个免费的！看完千万别谢我！.md,承德人国庆去哪遛娃？推荐个免费的！看完千万别谢我！,2024-09-27,事儿哥,文旅稿,承德新鲜工作室,https://mp.weixin.qq.com/s/uzvxPYNJLAqkbuKxWuGjbg,真福利！真免费！感谢体育彩票！,1033,58,52,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20241002_来自成都的「梵木」，极可能在承德创造奇迹！.md,来自成都的「梵木」，极可能在承德创造奇迹！,2024-10-02,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/n4cZxMpyTbYqAuKbNElHIQ,做个预测：这里会大火！,1376,43,47,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,否,是,holdout
20241004_承德罗汉山脚下的「梵木」，会有多火？.md,承德罗汉山脚下的「梵木」，会有多火？,2024-10-04,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/dpB8glFZr--H4N79bWObQQ,,1955,47,43,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20241011_今天上午的磬锤峰，为啥这么热闹？.md,今天上午的磬锤峰，为啥这么热闹？,2024-10-11,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/yYP-0MHpY5QV3VCmN6eyiA,“登高望远沐秋风，且看人间亲情重”。在磬锤峰踏山远足，静赏最美承德秋天！,1463,43,69,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20241019_成都春熙路上，承德来的皇上有点忙！.md,成都春熙路上，承德来的皇上有点忙！,2024-10-19,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/kiidAzXoJH2ilz7sgqXhdA,,1899,49,34,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20241028_那么多董宇辉“丈母娘”，为何要抵制围场土豆？.md,那么多董宇辉“丈母娘”，为何要抵制围场土豆？,2024-10-28,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/qvcRS-_ezLing7ovs498gg,心疼董宇辉，更心疼围场土豆！,3221,77,42,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20241113_承德天山居民懵了：啥？小区竟欠了百万水费？.md,承德天山居民懵了：啥？小区竟欠了百万水费？,2024-11-13,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/NClgfnv1fqsGBy47-PFZ9A,天山物业，还钱！,1525,27,26,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20250217_情人节那晚，承德迎来「近十年最惊艳摇滚现场」！.md,情人节那晚，承德迎来「近十年最惊艳摇滚现场」！,2025-02-17,事儿哥,活动稿,承德新鲜工作室,https://mp.weixin.qq.com/s/wnrz5zGjbyb9Nk38toBGeQ,如此难忘的夜晚，就在梵木！,3494,76,56,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250225_我“灵魂拷问”了Deepseek：承德是交通抓拍摄像头很多的城市吗？.md,我“灵魂拷问”了Deepseek：承德是交通抓拍摄像头很多的城市吗？,2025-02-25,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/9YYLrPkme0KLL-dugEsdPw,Deepseek说：承德才哪到哪！,1773,54,39,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20250305_大事件！承德全部酒企齐聚宽城，已找到成功破局的「未来密码！」.md,大事件！承德全部酒企齐聚宽城，已找到成功破局的「未来密码！」,2025-03-05,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/24Nqi7zLsYOjX98IASZJGg,承德酒业，未来向合！,4580,70,43,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250313_承德某些外卖，真的存在即合理吗？.md,承德某些外卖，真的存在即合理吗？,2025-03-13,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/RZ9lNuvJnhkzd3db0D1CHQ,所有的合理凑在一起，反而就是不合理。,2599,67,39,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20250314_我最爱的那支乐队，一个小时后在承德演出！.md,我最爱的那支乐队，一个小时后在承德演出！,2025-03-14,事儿哥,活动稿,承德新鲜工作室,https://mp.weixin.qq.com/s/B2uAnLWnps3nPDAw-6gSUw,马上！去梵木！,1527,60,40,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250315_承德网友，这里有一个来自美国佛罗里达的求助！.md,承德网友，这里有一个来自美国佛罗里达的求助！,2025-03-15,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/V4vPx08l3a949UCtwvfpFw,请打开你的手机相册！,788,32,22,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250318_专访辣条喜剧美女创始人：在承德做脱口秀，为啥有亿点点苦？.md,专访辣条喜剧美女创始人：在承德做脱口秀，为啥有亿点点苦？,2025-03-18,事儿哥,人物稿,承德新鲜工作室,https://mp.weixin.qq.com/s/oKml7StBZSjd43WlLG4-qw,崔杨静：撞了南墙，也不回头！,4033,90,42,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20250319_【重磅】承德部分停车场价格，已被打下！​.md,【重磅】承德部分停车场价格，已被打下！​,2025-03-19,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/_MboDRWfpUGKhIKJb72OHg,从零到一，意义重大！,2102,52,24,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250321_在梦想的照耀下，北大遇见最美好的滦平！.md,在梦想的照耀下，北大遇见最美好的滦平！,2025-03-21,事儿哥,教育稿,承德新鲜工作室,https://mp.weixin.qq.com/s/qhGt2AMnIyrMBR8016Ncsw,梦想公开课，深深照进现实！,4138,91,69,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250326_承德胖友：国家喊你科学减肥，三甲医院给安排上了！.md,承德胖友：国家喊你科学减肥，三甲医院给安排上了！,2025-03-26,事儿哥,服务提醒,承德新鲜工作室,https://mp.weixin.qq.com/s/AWA_jT6paKYPXHNuUdZ44w,科学减肥！听医生的！,2105,46,36,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250327_什么样的承德人，能在梵木赚大钱？.md,什么样的承德人，能在梵木赚大钱？,2025-03-27,事儿哥,商家稿,承德新鲜工作室,https://mp.weixin.qq.com/s/ldvqxdFk9Xdn2v6qRtrYsQ,先去的人……,2887,77,59,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,否,是,holdout
20250330_承德有多大概率发生「大地震」？.md,承德有多大概率发生「大地震」？,2025-03-30,事儿哥,突发短消息,承德新鲜工作室,https://mp.weixin.qq.com/s/f2r2DkutDURbVWllLtVqEw,相当相当相当相当相当低！,2158,53,27,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20250401_武烈河，有海鸥？！.md,武烈河，有海鸥？！,2025-04-01,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/9YD37LYU-_JnL3G_Zddlng,真有！,1239,37,32,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20250402_承德人，接下来请放声歌唱！能出名，能挣钱！.md,承德人，接下来请放声歌唱！能出名，能挣钱！,2025-04-02,事儿哥,民生稿,承德新鲜工作室,https://mp.weixin.qq.com/s/hBtmyScJhMKwTdbntX7gTA,梵木野声歌手大赛来了！,752,36,29,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250404_明天上午十点，一个「大事件」将在金山岭长城发生！.md,明天上午十点，一个「大事件」将在金山岭长城发生！,2025-04-04,事儿哥,文旅稿,承德新鲜工作室,https://mp.weixin.qq.com/s/U5y7JLLIs0QaJitcnVJ1gQ,金山岭的杏花开了……,1513,47,39,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250407_滦平，做对了什么？.md,滦平，做对了什么？,2025-04-07,事儿哥,评论观点,承德新鲜工作室,https://mp.weixin.qq.com/s/jOHMB8_h4Y52JnnEmL767A,率先开启了一场「宠客承德」的伟大尝试！,2139,59,29,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20250410_13级大风或路上，承德人将见证「历史极值」！.md,13级大风或路上，承德人将见证「历史极值」！,2025-04-10,事儿哥,突发短消息,承德新鲜工作室,https://mp.weixin.qq.com/s/LwIBxB0GeJDOxWFg1Js8yg,见证「历史极值」！,1052,37,21,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250411_明天的「妖风」，能吹倒罄槌峰吗？.md,明天的「妖风」，能吹倒罄槌峰吗？,2025-04-11,事儿哥,突发短消息,承德新鲜工作室,https://mp.weixin.qq.com/s/0DUnwuMql1BBjSz8B7JZ_g,地球上不存在这种风……,1135,43,25,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,是,否,train
20250411_这场大风，到底会不会来承德？.md,这场大风，到底会不会来承德？,2025-04-11,事儿哥,突发短消息,承德新鲜工作室,https://mp.weixin.qq.com/s/52Q6F1eXTKLDk1Dr-26Rhw,明天，是个大考验！,1299,43,30,否,是,未知（语料无阅读/点赞/在看数据）,多图证据；问题标题,否,是,holdout
20250414_来自湖南老乡的提醒：承德，千万别成为「骚扰诈骗电话之都」！.md,来自湖南老乡的提醒：承德，千万别成为「骚扰诈骗电话之都」！,2025-04-14,事儿哥,突发短消息,承德新鲜工作室,https://mp.weixin.qq.com/s/Bk2GbNV3GT9ELuSnJEt3og,勿谓言之不预！,1415,38,21,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,是,否,train
20250415_河北省刚颁布的一份重要文件里，藏着一个承德的“小秘密”！.md,河北省刚颁布的一份重要文件里，藏着一个承德的“小秘密”！,2025-04-15,事儿哥,政务稿,承德新鲜工作室,https://mp.weixin.qq.com/s/qknO7OS_BTkZDR1baCdyEg,引发经济的机会来了！,2258,46,33,否,是,未知（语料无阅读/点赞/在看数据）,多图证据,否,是,holdout
